"participant_id","stimulus_id","utterance","response"
"participant16","S63-1039","A > C",0.93
"participant16","S63-1039","C",1
"participant16","S63-1039","C > A",0.91
"participant16","S7-130","A",0.9
"participant16","S7-130","A > C",0
"participant16","S7-130","C",0.74
"participant16","S7-130","C > A",0
"participant16","S7-130-dep","A",0.93
"participant16","S7-130-dep","A > C",1
"participant16","S7-130-dep","C",0.93
"participant16","S7-130-dep","C > A",1
"participant16","S8-202","A",0.88
"participant16","S8-202","A > C",0.9
"participant16","S8-202","C",0.82
"participant16","S8-202","C > A",0.77
"participant16","S83-1609","A",0.21
"participant16","S83-1609","A > C",0.23
"participant16","S83-1609","C",0.29
"participant16","S83-1609","C > A",0.2
"participant16","S89-1642","A",0.85
"participant16","S89-1642","A > C",0.12
"participant16","S89-1642","C",0.56
"participant16","S89-1642","C > A",0.18
"participant16","S89-1642-dep","A",0.28
"participant16","S89-1642-dep","A > C",0.04
"participant16","S89-1642-dep","C",0.72
"participant16","S89-1642-dep","C > A",0.06
"participant16","S93-1674","A",0.84
"participant16","S93-1674","A > C",0.14
"participant16","S93-1674","C",0.84
"participant16","S93-1674","C > A",0.21
"participant16","S97-1674","A",0.79
"participant16","S97-1674","A > C",0.84
"participant16","S97-1674","C",0.28
"participant16","S97-1674","C > A",0.8
"participant17","S1-121","A",0.28
"participant17","S1-121","A > C",0.81
"participant17","S1-121","C",0.98
"participant17","S1-121","C > A",1
"participant17","S10-203","A",1
"participant17","S10-203","A > C",0.17
"participant17","S10-203","C",1
"participant17","S10-203","C > A",1
"participant17","S12-203","A",0.76
"participant17","S12-203","A > C",0.01
